Species/Genus	logn50	logcontigcount	logl50	logtotlen	logcoverage	GCcontent	Busco	logcds_genes	logtrna_genes
Photobacterium angustum	5.324	1.7595	0.778	6.686	2	0.396	92.93	1.9	0.768
Photobacterium damselae	4.9995	2.0915	1.145	6.648	1.9235	0.407	94.266	3.778	1.09
Photobacterium kishitanii	5.237	1.934	0.8995	6.7075	1.98	0.388	80.446	2.151	0.884
Photobacterium leiognathi	5.346	1.813	0.903	6.665	1.944	0.411	92.952	1.33	1.615
Photobacterium phosphoreum	5.104	1.985	1.0965	6.6595	1.866	0.395	84.716	1.369	1.166
Photorhabdus luminescens	4.811	2.449	1.431	6.7325	1.653	0.425	78.23	3.405	1.677
Phycisphaeraceae bacterium	3.9535	2.591	2.006	6.4915	1	0.616	89.189	3.354	0.554
Phycisphaerae bacterium	4.3865	2.3595	1.6765	6.4495	0.9535	0.613	80.075	2.483	2.196
Phycisphaerales bacterium	4.22	2.419	1.7815	6.4325	1.0125	0.6085	80.001	2.061	1.542
Piscirickettsia salmonis	4.14	2.556	1.771	6.482	3.159	0.396	82.962	1.524	1.209
Planctomyces sp.	4.237	2.5995	2.002	6.689	1	0.594	82.278	2.396	1.543
Planctomycetaceae bacterium	4.151	2.544	1.944	6.58	0.856	0.6	92.529	3.803	0.735
Planctomycetales bacterium	4.046	2.42	1.813	6.469	1.147	0.646	85.711	3.128	1.802
Planctomycetes bacterium	4.041	2.34	1.74	6.463	1	0.601	98.935	1.373	1.461
Planctomycetia bacterium	4.062	2.3645	1.744	6.3935	1	0.6355	94.296	2.784	1.361
Plasmodium falciparum	4.898	3.1985	1.962	7.474	1.1425	0.199	78.717	3.58	1.829
Plesiomonas shigelloides	4.979	1.991	1.146	6.575	2	0.517	96.966	3.202	1.075
Pluralibacter gergoviae	5.258	1.996	0.954	6.744	2	0.589	78.708	2.679	0.975
Polaromonas sp.	4.061	2.579	1.959	6.537	1.301	0.597	97.19	2.402	0.454
Porphyrobacter donghaensis	4.4575	2.526	1.652	6.589	0.699	0.6675	83.594	3.648	1.368
Porphyromonas gingivalis	4.6995	2.088	1.19	6.365	1.447	0.4845	86.841	1.013	2.22
Porticoccaceae bacterium	4.485	1.898	1.23	6.27	-1	0.429	89.305	3.818	1.655
Prevotella copri	4.881	2.043	1.176	6.5525	1.9845	0.449	94.113	2.598	2.035
Prevotella intermedia	4.999	2.1	0.954	6.429	1.23	0.434	89.816	2.485	1.97
Prevotella sp.	4.431	2.188	1.491	6.381	1.699	0.477	94.081	2.633	2.07
Prochlorococcus marinus	5.367	1.279	0.477	6.23	2.301	0.314	81.141	3.05	1.367
Propionibacteriaceae bacterium	4.033	2.386	1.765	6.3175	1.3315	0.617	89.658	1.77	1.454
Propionibacterium sp.	4.0795	2.476	1.785	6.456	1.9935	0.6645	98.822	3.876	0.8
Proteobacteria bacterium	3.9275	2.4495	1.785	6.375	1	0.5515	92.804	1.624	1.273
Proteus mirabilis	5.182	2.121	1	6.603	2	0.389	87.857	3.897	1.982
Providencia alcalifaciens	5.4035	1.6125	0.778	6.6085	1.9265	0.418	96.75	3.335	1.475
Providencia rettgeri	5.2655	1.987	0.9515	6.665	1.602	0.403	89.681	3.625	2.255
Providencia stuartii	5.282	1.924	0.903	6.65	1.792	0.414	89.033	3.299	2.149
Pseudoalteromonas luteoviolacea	5.1705	2.167	1.161	6.7755	2	0.42	93.159	1.335	1.129
Pseudoalteromonas piscicida	5.0145	2.386	1.255	6.731	2.095	0.434	89.894	3.167	0.55
Pseudoalteromonas ruthenica	5.322	2.279	0.845	6.612	2.215	0.474	78.876	3.47	2.103
Pseudoalteromonas sp.	4.543	2.111	1.531	6.577	-1	0.404	90.889	1.947	1.038
Pseudomonadales bacterium	4.3355	2.344	1.602	6.497	0.794	0.6065	88.297	3.705	1.06
Pseudomonas aeruginosa	5.318	2.021	1.041	6.82	1.748	0.662	84.999	1.54	1.14
Pseudomonas amygdali	4.92	2.42	1.342	6.795	2	0.581	93.456	1.386	1.006
Pseudomonas asiatica	5.522	1.763	0.778	6.775	0	0.625	80.536	3.354	0.495
Pseudomonas avellanae	4.4915	2.616	1.761	6.7735	2.152	0.588	98.264	3.162	0.315
Pseudomonas chlororaphis	5.646	1.5245	0.7385	6.8345	1.8345	0.6285	81.388	3.863	2.327
Pseudomonas fluorescens	5.472	1.851	0.903	6.796	1.973	0.602	88.332	2.299	1.157
Pseudomonas fragi	5.618	1.5965	0.7385	6.7135	1.954	0.592	92.455	3.547	1.568
Pseudomonas helleri	4.817	2.502	1.477	6.774	2.344	0.579	99.899	3.388	1.701
Pseudomonas koreensis	5.49	1.833	0.845	6.785	2	0.602	78.373	2.567	0.437
Pseudomonas lactis	5.4345	1.767	0.9285	6.8235	1.8615	0.599	95.719	2.119	1.479
Pseudomonas lundensis	5.328	1.851	0.954	6.7	1.874	0.586	80.889	3.142	1.944
Pseudomonas lurida	5.438	1.716	0.778	6.783	1.924	0.609	92.229	2.228	2.287
Pseudomonas mendocina	5.5135	1.566	0.8405	6.7085	1.477	0.6245	92.657	1.905	0.676
Pseudomonas monteilii	5.214	2.104	1.079	6.781	1.799	0.618	99.002	1.923	2.271
Pseudomonas nitroreducens	5.523	1.861	0.8115	6.8285	1.8775	0.6445	94.496	1.211	0.868
Pseudomonas oleovorans	5.018	2.037	1.204	6.688	2	0.622	95.159	1.566	0.378
Pseudomonas protegens	5.861	1.431	0.602	6.843	1.716	0.633	85.626	3.501	2.159
Pseudomonas proteolytica	5.164	1.929	1.146	6.803	1.826	0.604	93.64	1.654	1.403
Pseudomonas psychrotolerans	5.111	2.114	1.146	6.722	2.053	0.649	78.237	3.079	1.35
Pseudomonas putida	5.1145	2.0825	1.217	6.784	1.789	0.62	86.144	2.181	1.365
Pseudomonas sp.	4.223	2.33	1.633	6.608	0.929	0.621	96.76	3.166	0.658
Pseudomonas stutzeri	5.393	1.74	0.778	6.664	2	0.6335	77.865	1.859	0.629
Pseudomonas syringae	4.718	2.468	1.556	6.787	1.973	0.588	88.118	3.797	0.801
Pseudomonas veronii	5.207	2.061	1.146	6.853	2.053	0.607	79.862	2.189	1.612
Pseudomonas viridiflava	5.559	1.792	0.778	6.777	1.699	0.593	94.905	2.994	0.607
Puccinia striiformis	3.6545	4.5495	3.6065	7.8255	1.7955	0.444	85.494	2.394	2.328
Puccinia triticina	3.652	4.699	3.738	7.978	1.903	0.467	92.667	2.161	0.471
Puniceicoccaceae bacterium	4.417	1.863	1.342	6.226	1.079	0.499	84.197	3.542	2.165
Pyricularia oryzae	4.069	3.847	2.959	7.574	1.875	0.5115	85.243	2.043	1.697
Pyrinomonadaceae bacterium	3.848	2.7975	2.1925	6.576	1.1475	0.551	94.633	1.215	1.573
Ralstonia pickettii	5.426	1.6175	0.903	6.735	2.293	0.637	86.692	1.669	0.87
Ralstonia solanacearum	4.761	2.276	1.447	6.735	2.117	0.667	95.761	3.092	0.815
Raoultella ornithinolytica	5.4145	1.8865	0.903	6.754	2.0775	0.556	82.78	1.239	1.516
Raoultella planticola	5.397	1.74	0.845	6.762	2	0.555	87.494	1.8	1.179
Raoultella terrigena	5.531	1.903	0.845	6.753	1.86	0.578	91.415	2.341	0.386
Rhizobiales bacterium	5.366	1.74	0.903	6.711	2.477	0.594	85.578	1.149	2.299
Rhizobium laguerreae	5.414	1.799	0.954	6.854	1.477	0.608	84.704	2.702	2.212
Rhizobium leguminosarum	5.457	1.94	0.954	6.879	1.477	0.607	84.926	1.449	1.529
Rhodanobacter sp.	4.745	2.134	1.255	6.548	-1	0.65	84.148	1.065	1.816
Rhodobacteraceae bacterium	4.1135	2.4425	1.792	6.4055	1.171	0.598	96.772	2.958	0.364
Rhodobacterales bacterium	4.13	2.19	1.672	6.398	0.875	0.602	96.631	2.881	1.099
Rhodobiaceae bacterium	4.604	1.653	1.079	6.165	-1	0.358	82.54	3.62	1.666
Rhodococcus erythropolis	5.351	2.083	0.954	6.823	1.924	0.624	77.937	2.424	0.435
Rhodococcus hoagii	5.628	1.613	0.602	6.716	2.079	0.688	83.399	1.616	1.26
Rhodococcus rhodochrous	4.9115	2.3015	1.332	6.789	1.932	0.684	78.961	1.09	1.898
Rhodocyclaceae bacterium	4.386	2.2595	1.545	6.479	1.6945	0.6285	88.091	2.015	0.517
Rhodoferax sp.	4.1495	2.466	1.785	6.505	1.3115	0.606	89.542	3.709	0.551
Rhodopirellula sp.	4.555	2.283	1.643	6.689	-1	0.518	79.028	2.821	1.908
Rhodospirillaceae bacterium	4.453	1.898	1.301	6.343	-1	0.508	89.606	1.144	1.967
Rhodospirillales bacterium	3.872	2.517	1.964	6.49	1	0.617	92.001	3.645	1.112
Rhodotorula mucilaginosa	5.412	2.497	1.38	7.303	1.87	0.605	81.528	1.892	1.095
Rickettsiales bacterium	4.3335	1.8025	1.29	6.093	-1	0.305	80.297	1.227	0.743
Riemerella anatipestifer	5.343	1.5235	0.477	6.3315	2.663	0.35	98.358	1.068	1.434
Rikenellaceae bacterium	4.424	2.13	1.38	6.329	1.279	0.511	88.112	3.471	0.552
Rodentibacter pneumotropicus	4.6285	2.0755	1.279	6.367	1.672	0.4	79.033	2.511	1.475
Roseibacillus sp.	4.705	1.978	1.415	6.565	-1	0.549	94.179	1.602	0.656
Roseobacter sp.	4.701	1.939	1.296	6.5365	-1	0.6	82.145	1.447	2.116
Roseovarius sp.	4.944	2.058	1.0775	6.468	0.018	0.632	90.341	1.154	1.27
Rothia kristinae	4.362	2.243	1.491	6.355	2.199	0.718	92.11	1.948	1.891
Rubrobacter sp.	3.854	2.605	2.124	6.45	1.601	0.634	93.855	2.465	2.208
Ruegeria arenilitoris	5.7905	1.161	0.301	6.5815	2.301	0.614	96.114	1.758	0.759
Ruegeria atlantica	5.4965	1.573	0.6505	6.6435	2.301	0.5705	85.044	3.151	1.617
Ruegeria conchae	5.561	1.491	0.602	6.644	2.301	0.571	81.438	2.15	2.06
Ruminiclostridium sp.	4.523	2.0815	1.3685	6.412	1.3135	0.4495	85.904	1.034	1.343
Ruminococcaceae bacterium	4.251	2.196	1.531	6.307	1.477	0.499	89.442	2.89	1.125
Ruminococcus bromii	4.799	1.869	1.0775	6.328	1.8325	0.41	93.65	1.863	2.33
Ruminococcus faecis	4.741	2.041	1.279	6.512	1.881	0.408	95.654	1.085	0.929
Ruminococcus flavefaciens	4.23	2.325	1.703	6.42	1.477	0.467	94.701	3.641	1.082
Ruminococcus gnavus	4.93	2.173	1.114	6.563	2	0.427	96.417	2.434	1.91
Ruminococcus sp.	4.367	2.173	1.4695	6.3295	1.1385	0.442	96.656	1.884	1.417
Saccharomyces cerevisiae	5.046	2.508	1.531	7.064	1.954	0.382	81.408	1.18	1.24
Saccharomyces pastorianus	4.9385	2.942	1.7735	7.3445	1.748	0.3915	90.631	3.763	0.878
Salmonella bongori	5.282	1.763	0.903	6.667	1.954	0.513	78.936	1.319	2.299
Salmonella enterica	5.288	1.771	0.903	6.678	1.919	0.521	84.223	1.263	1.596
Saprospiraceae bacterium	3.98	2.667	2.064	6.497	1.014	0.41	91.899	2.796	0.848
Saprospirales bacterium	4.2755	2.3795	1.6645	6.4895	1.132	0.4335	90.046	2.575	1.733
Serratia fonticola	5.262	1.916	1.041	6.759	2	0.5365	88.855	1.265	0.849
Serratia marcescens	5.294	2.158	1	6.72	1.968	0.595	89.358	3.713	0.626
Serratia symbiotica	4.792	2.0535	1.2005	6.3675	1.868	0.5165	87.478	2.73	0.505
Shewanella algae	4.983	2.033	1.204	6.687	2.353	0.53	98.22	1.245	1.971
Shigella boydii	4.302	2.626	1.826	6.637	2	0.508	96.403	3.393	1.488
Shigella dysenteriae	4.291	2.648	1.826	6.638	2	0.508	81.95	2.388	1.013
Shigella flexneri	4.461	2.563	1.672	6.648	1.978	0.505	85.323	2.199	0.572
Shigella sonnei	4.378	2.618	1.763	6.663	1.987	0.508	80.996	3.034	0.382
Sinorhizobium fredii	4.591	2.5485	1.7075	6.834	2.1845	0.622	79.549	2.907	1.031
Sinorhizobium medicae	5.036	2.19	1.255	6.822	0.941	0.612	77.718	2.667	2.141
Sinorhizobium meliloti	4.823	2.319	1.505	6.837	0.9345	0.621	97.61	1.992	1.665
Snodgrassella alvi	4.901	1.875	1	6.3895	1.4545	0.413	89.681	2.384	1.566
Solirubrobacterales bacterium	3.616	2.611	2.1415	6.329	1.0045	0.7095	84.335	2.282	0.702
Sphingobacteriia bacterium	4.24	2.4755	1.7705	6.369	0.8375	0.392	83.421	3.716	0.559
Sphingobium sp.	4.775	2.097	1.23	6.492	-1	0.634	87.227	1.248	0.741
Sphingomonadaceae bacterium	4.1185	2.417	1.732	6.393	0.542	0.632	90.692	3.363	0.438
Sphingomonadales bacterium	3.723	2.4905	1.929	6.3505	1	0.652	81.176	3.242	1.612
Sphingomonas koreensis	5.391	1.69	0.845	6.6865	1.914	0.66	80.255	2.475	2.338
Sphingomonas sp.	4.3415	2.281	1.5575	6.3835	0.9895	0.652	99.615	2.422	0.718
Spirochaetaceae bacterium	3.9925	2.5655	1.937	6.492	1.0365	0.593	83.917	2.487	1.814
Spirochaetales bacterium	3.966	2.558	1.886	6.422	1.307	0.557	82.819	3.14	0.716
Spirochaetes bacterium	3.9635	2.577	1.956	6.3905	1.258	0.4275	79.299	2.462	0.703
Spirochaetia bacterium	3.994	2.462	1.74	6.386	1.079	0.449	96.811	3.813	0.912
Spraguea lophii	3.7155	3.5815	2.4925	6.8835	2.0085	0.23	96.759	1.393	0.413
Staphylococcus agnetis	4.916	1.866	1	6.3885	1.7455	0.357	81.644	2.969	1.513
Staphylococcus argenteus	5.833	1.3115	0.301	6.445	2	0.323	99.678	2.796	1.743
Staphylococcus arlettae	4.686	2.199	1.204	6.416	1.613	0.334	98.532	2.94	2.024
Staphylococcus aureus	5.24	1.681	0.699	6.451	2	0.327	88.095	3.312	1.547
Staphylococcus capitis	5.196	1.914	0.699	6.394	1.892	0.329	97.94	1.314	2.096
Staphylococcus chromogenes	4.926	1.857	0.954	6.364	1.653	0.367	79.135	1.623	1.596
Staphylococcus cohnii	4.61	2.121	1.255	6.422	1.643	0.325	92.866	2.564	1.717
Staphylococcus delphini	5.269	1.633	0.7385	6.4085	2.1155	0.383	86.231	1.822	2.156
Staphylococcus epidermidis	4.974	1.908	0.954	6.395	1.991	0.32	81.796	2.507	0.487
Staphylococcus equorum	4.696	2.1655	1.2425	6.4415	1.648	0.33	87.671	2.554	0.76
Staphylococcus felis	4.484	2.26	1.477	6.379	1.949	0.349	95.51	2.25	0.411
Staphylococcus gallinarum	4.4575	2.41	1.4835	6.4675	1.58	0.331	96.919	3.088	1.899
Staphylococcus haemolyticus	4.859	1.987	1.041	6.397	2.013	0.327	96.337	1.648	0.769
Staphylococcus hominis	5.0535	1.703	0.778	6.351	1.9415	0.314	87.028	3.017	0.736
Staphylococcus pasteuri	4.688	2.031	1.217	6.404	1.6505	0.315	97.996	1.671	1.754
Staphylococcus pseudintermedius	5.097	1.908	0.903	6.425	2	0.374	79.062	1.998	2.106
Staphylococcus saprophyticus	5.781	1.477	0.301	6.42	2	0.33	96.315	3.82	2.149
Staphylococcus schleiferi	5.169	1.748	0.845	6.392	2.267	0.359	85.386	1.135	0.534
Staphylococcus sciuri	4.643	2.2305	1.29	6.442	1.653	0.325	80.568	1.083	0.405
Staphylococcus simulans	4.933	1.973	1.041	6.422	1.568	0.36	84.931	2.91	2.232
Staphylococcus succinus	4.509	2.326	1.447	6.442	1.602	0.329	98.013	3.887	1.025
Staphylococcus warneri	4.832	2.004	1.114	6.406	1.643	0.326	85.605	3.683	0.31
Staphylococcus xylosus	4.6665	2.1715	1.29	6.4535	1.618	0.327	83.892	3.236	0.32
Stenotrophomonas maltophilia	4.763	2.238	1.431	6.684	1.987	0.664	91.128	2.025	1.432
Streptococcus agalactiae	5.014	1.623	0.845	6.321	2	0.354	79.891	2.204	1.461
Streptococcus anginosus	5.0665	1.628	0.778	6.292	1.791	0.3875	97.468	2.628	0.507
Streptococcus canis	5.3435	1.4405	0.5395	6.338	2	0.396	92.633	2.21	0.512
Streptococcus cristatus	5.162	1.681	0.699	6.315	1.851	0.425	97.456	1.073	0.653
Streptococcus dysgalactiae	4.871	1.82	1	6.333	1.943	0.393	82.461	1.193	0.606
Streptococcus equi	4.642	1.898	1.23	6.328	2	0.412	89.311	2.585	0.608
Streptococcus equinus	5.7585	1.159	0.301	6.2785	2.6105	0.3735	87.374	1.947	1.2
Streptococcus gordonii	5.375	1.439	0.602	6.341	2	0.405	82.68	1.23	1.176
Streptococcus halichoeri	4.896	1.6575	0.903	6.301	2.025	0.415	90.097	3.739	0.988
Streptococcus iniae	4.669	1.934	1.146	6.3	2.1	0.365	91.414	2.479	0.558
Streptococcus intermedius	5.466	1.255	0.477	6.288	1.462	0.376	88.955	1.995	2.026
Streptococcus mitis	5.15	1.591	0.699	6.301	1.69	0.4	93.6	1.902	2.118
Streptococcus mutans	4.704	1.991	1.146	6.294	1.771	0.368	84.545	2.495	0.817
Streptococcus oralis	5.413	1.4545	0.389	6.2915	1.676	0.411	94.746	3.739	1.461
Streptococcus parasanguinis	5.407	1.342	0.477	6.325	2	0.42	96.872	1.414	1.159
Streptococcus parauberis	5.4975	1.161	0.477	6.3095	1.757	0.355	81.61	1.534	1.602
Streptococcus pneumoniae	4.924	1.699	0.903	6.318	2	0.396	88.209	3.624	2.139
Streptococcus pseudopneumoniae	4.668	2.064	1.176	6.338	2	0.398	82.796	2.453	0.77
Streptococcus pyogenes	5.3025	1.301	0.602	6.253	2	0.384	93.955	2.865	0.316
Streptococcus salivarius	5.175	1.672	0.778	6.337	1.93	0.398	79.716	3.46	1.047
Streptococcus sanguinis	5.4435	1.5295	0.602	6.374	1.813	0.431	93.856	2.846	0.443
Streptococcus sobrinus	4.03	2.555	1.785	6.322	1.779	0.435	86.823	1.235	1.269
Streptococcus suis	4.967	1.748	0.903	6.327	1.699	0.412	83.037	1.149	2.012
Streptococcus thermophilus	4.815	1.813	0.954	6.253	1.992	0.389	86.74	3.251	1.305
Streptococcus uberis	5.342	1.462	0.477	6.2845	2.2855	0.364	86.233	3.58	1.25
Streptomyces albidoflavus	5.426	1.82	0.954	6.849	2.176	0.734	94.165	2.058	1.333
Streptomyces griseus	5.33	2.104	1.041	6.905	2.31	0.726	93.384	2.324	1.493
Streptomyces lunaelactis	4.473	2.713	1.929	6.901	1.519	0.698	89.335	3.054	0.999
Streptomyces rimosus	5.0365	2.3615	1.4145	6.978	2.135	0.719	87.067	1.567	0.342
Streptomyces scabiei	4.097	3.138	2.318	6.993	2	0.712	77.962	3.256	2.3
Streptomyces sp.	3.86	3.05	2.488	6.923	1.6885	0.711	87.392	2.275	0.46
Subdoligranulum sp.	4.2765	2.264	1.623	6.376	1.5375	0.588	92.084	1.327	0.646
Sulfolobus acidocaldarius	5.6725	0.9285	0.301	6.3465	1.9905	0.367	78.02	1.815	1.25
Sulfurimonas sp.	4.431	1.924	1.204	6.282	0	0.343	93.527	1.579	0.311
Sulfurovum sp.	3.932	2.307	1.785	6.199	0	0.363	88.526	2.152	1.331
Sutterella wadsworthensis	4.9175	1.842	1.041	6.458	1.892	0.552	79.64	3.56	0.541
Synechococcus lacustris	5.084	1.568	0.845	6.387	0	0.619	93.181	2.092	0.941
Synergistaceae bacterium	3.908	2.4145	1.8345	6.239	2.5225	0.5395	99.225	3.092	2.278
Syntrophaceae bacterium	4.382	2.4185	1.763	6.536	1.5405	0.4965	90.373	1.88	1.114
Syntrophomonadaceae bacterium	4.005	2.408	1.756	6.277	1.442	0.465	82.99	1.495	0.692
Tenacibaculum maritimum	5.065	1.968	1.041	6.524	1.929	0.318	90.614	1.747	1.454
Tetragenococcus halophilus	4.5615	2.431	1.342	6.3865	2.4585	0.357	99.896	1.19	0.407
Thaumarchaeota archaeon	4.243	1.994	1.3215	6.0405	1.176	0.357	95.073	3.447	0.539
Thermococci archaeon	3.7335	2.416	1.913	6.1325	1.5505	0.4115	78.174	1.586	1.575
Thermofilum sp.	3.8055	2.293	1.7075	6.015	1.105	0.5475	83.679	2.01	0.35
Thermoflexales bacterium	3.908	2.74	2.146	6.525	1.078	0.617	92.048	2.33	1.681
Thermoleophilaceae bacterium	3.716	2.584	2.045	6.259	1.28	0.706	89.099	2.366	2.222
Thermoleophilia bacterium	4.101	2.237	1.638	6.2565	1.052	0.682	85.471	3.083	1.733
Thermoplasmata archaeon	3.7605	2.335	1.8025	6.143	1.4285	0.4325	92.231	2.716	2.27
Thermoplasmatales archaeon	3.595	2.326	1.851	5.946	0.951	0.41	81.486	2.4	0.613
Thermoprotei archaeon	3.779	2.389	1.799	6.1445	1.5895	0.425	98.954	2.497	1.522
Thermus scotoductus	4.091	2.6	1.748	6.364	1.748	0.651	85.223	2.04	1.3
Thioalkalivibrio sp.	3.913	2.512	1.919	6.332	1.514	0.656	81.443	1.431	1.773
Thiotrichales bacterium	4.01	2.431	1.771	6.222	0.961	0.483	82.924	2.64	0.428
Tissierellia bacterium	4.208	2.32	1.58	6.285	2.413	0.348	98.036	1.716	0.527
Toxoplasma gondii	4.551	3.794	2.675	7.797	1.499	0.524	98.137	1.938	0.878
Treponema sp.	4.352	2.255	1.544	6.342	1.732	0.44	78.084	1.949	0.68
Triticum aestivum	3.066	5.446	4.268	8.641	0.763	0.457	81.446	1.838	2.063
Tropheryma whipplei	4.934	2.146	0.602	5.9455	-1	0.464	90.19	3.467	1.704
Trueperaceae bacterium	3.8305	2.6255	2.047	6.438	1.4775	0.7065	87.857	2.137	1.215
Trypanosoma cruzi	3.71	3.992	3.053	7.437	1.792	0.5015	95.836	2.925	1.942
Turicibacter sanguinis	4.974	1.845	1.041	6.482	1.885	0.341	97.177	3.849	1.582
Ureaplasma urealyticum	5.477	1.079	0.301	5.934	-1	0.259	96.114	3.656	0.416
Variovorax paradoxus	4.76	2.511	1.716	6.928	1.462	0.689	84.428	1.25	1.175
Variovorax sp.	4.0175	2.741	1.9285	6.6025	1.0775	0.6705	98.315	1.334	1.373
Veillonellaceae bacterium	4.661	2.0725	1.2525	6.3935	1.372	0.455	88.765	1.054	1.093
Verrucomicrobia bacterium	4.005	2.53	1.845	6.4	1.086	0.586	96.966	1.175	0.326
Verrucomicrobiaceae bacterium	4.211	2.288	1.756	6.5	1	0.562	99.439	3.055	1.98
Verrucomicrobiales bacterium	4.227	2.267	1.716	6.4275	1	0.5745	85.849	1.256	1.863
Vibrio aestuarianus	4.982	2.061	1.204	6.622	1.699	0.427	94.839	3.254	0.693
Vibrio alginolyticus	5.415	1.934	0.845	6.715	2	0.446	95.624	1.522	2.111
Vibrio campbellii	4.341	2.702	1.892	6.724	1.699	0.455	81.898	1.168	1.453
Vibrio cholerae	5.251	2.064	0.903	6.603	2	0.475	79.455	3.134	0.449
Vibrio coralliilyticus	5.3825	1.806	0.845	6.7445	1.699	0.457	92.127	3.283	1.121
Vibrio crassostreae	5.361	1.877	0.845	6.7125	2.414	0.443	79.166	1.258	1.193
Vibrio cyclitrophicus	5.401	1.968	0.845	6.703	1.699	0.436	85.653	1.224	2.016
Vibrio diabolicus	5.526	1.949	0.778	6.708	1.477	0.448	97.402	2.357	1.69
Vibrio fluvialis	5.373	1.792	0.903	6.677	2	0.5	78.025	3.615	0.58
Vibrio harveyi	4.9675	2.1505	1.301	6.7665	1.699	0.449	84.403	2.413	1.773
Vibrio mediterranei	5.212	1.949	1.041	6.753	1.079	0.441	81.624	1.056	0.689
Vibrio metoecus	5.2965	1.897	0.8115	6.6005	2.431	0.469	79.687	1.026	1.739
Vibrio mimicus	5.2225	1.98	0.9225	6.637	1.389	0.4635	84.815	2.97	0.784
Vibrio nigripulchritudo	4.926	2.146	1.322	6.799	-1	0.458	84.154	1.486	0.841
Vibrio parahaemolyticus	5.2865	2.117	0.903	6.707	2	0.453	89.511	1.945	1.184
Vibrio splendidus	5.2465	1.914	1.041	6.732	2.086	0.442	85.386	2.222	1.354
Vibrio tasmaniensis	5.0645	2.0955	1.145	6.7215	1.924	0.439	99.001	2.746	1.417
Vibrio vulnificus	5.268	2.14	0.954	6.695	1.97	0.467	89.691	2.144	0.842
Wallemia ichthyophaga	5.234	2.36	1.322	6.98	2.453	0.454	94.558	2.567	1.177
Wallemia mellicola	5.128	2.362	1.322	6.989	2.483	0.4	90.28	3.172	1.073
Weissella cibaria	5.113	1.778	0.778	6.372	2	0.449	97.33	1.899	1.591
Weissella confusa	5.165	1.663	0.778	6.354	1.633	0.447	94.648	2.246	1.012
Weissella paramesenteroides	5.2825	1.439	0.602	6.299	2.0465	0.379	90.894	1.677	1.611
Wenzhouxiangella sp.	3.979	2.515	1.875	6.392	1.629	0.623	82.007	2.357	1.441
Winogradskyella sp.	4.221	2.279	1.57	6.3975	1.04	0.341	94.924	3.459	0.665
Woeseiaceae bacterium	4.226	2.164	1.519	6.407	1.273	0.575	97.294	1.978	2.135
Wohlfahrtiimonas chitiniclastica	5.667	0.9515	0.301	6.327	2.412	0.437	80.968	2.848	2.154
Wolbachia pipientis	4.14	2.152	1.362	6.065	1.884	0.3495	82.868	1.945	1.138
Xanthomonadaceae bacterium	4.099	2.405	1.732	6.476	1.756	0.656	85.031	1.159	1.714
Xanthomonadales bacterium	4.1635	2.417	1.8265	6.462	0.99	0.628	86.014	1.995	0.344
Xanthomonas arboricola	5.312	1.851	0.954	6.695	2	0.656	88.78	2.608	2.325
Xanthomonas campestris	5.157	1.966	1.06	6.6995	2.1715	0.651	79.669	1.392	0.865
Xanthomonas citri	5.35	2.182	0.954	6.719	2.021	0.647	96.668	2.856	0.83
Xanthomonas euvesicatoria	5.164	2.173	1.146	6.719	1.839	0.646	99.05	3.414	2.024
Xanthomonas fragariae	4.253	2.5975	1.869	6.62	2.027	0.623	83.72	3.873	1.593
Xanthomonas hortorum	5.1	2.093	1.114	6.712	2.556	0.637	89.041	2.454	1.443
Xanthomonas oryzae	4.326	2.636	1.799	6.633	2.249	0.639	78.409	3.537	1.237
Xanthomonas perforans	5.066	2.004	1.146	6.718	1.656	0.647	99.105	1.743	0.514
Xanthomonas phaseoli	4.8285	2.211	1.38	6.6945	2.007	0.65	83.677	3.872	0.682
Xanthomonas translucens	4.268	2.4865	1.8295	6.636	2	0.684	93.385	1.582	1.195
Xanthomonas vasicola	5.0985	2.127	1.114	6.684	1.903	0.633	95.248	2.874	1.812
Xanthomonas vesicatoria	5.226	1.884	1.05	6.7235	1.807	0.641	97.43	1.724	1.089
Xylella fastidiosa	5.0145	2.107	0.845	6.402	2.8585	0.518	94.104	2.019	0.83
Yersinia bercovieri	4.7295	2.254	1.3975	6.6285	2.0145	0.494	83.689	1.005	1.708
Yersinia enterocolitica	4.8535	2.132	1.301	6.651	2.076	0.471	83.13	1.571	1.75
Yersinia frederiksenii	5.1295	2.0225	1.0775	6.6845	2.0605	0.476	95.781	2.787	1.606
Yersinia kristensenii	5.068	1.973	1.079	6.65	2	0.475	89.646	1.546	1.553
Yersinia mollaretii	5.21	1.785	0.9285	6.661	2.31	0.491	85.132	2.008	2.098
Yersinia pestis	4.388	2.631	1.771	6.66	1.851	0.475	91.501	1.114	2.132
Yersinia pseudotuberculosis	4.696	2.361	1.4695	6.67	2.0895	0.476	82.453	3.638	1.814
Yersinia ruckeri	5.224	1.892	0.903	6.575	2.114	0.476	87.821	2.567	1.387
Zetaproteobacteria bacterium	4.299	2.0595	1.447	6.266	0.903	0.561	85.33	2.816	1.344
Zymomonas mobilis	5.251	1.505	0.477	6.312	2.286	0.449	93.665	3.577	0.6
